Vendor Name,Vendor ID,OTP Sent,Response Time (ms),Error Rate,Date,Country Code,Phone Number,Day,Response Time (s),Success Rate,Time Period,Vendor Performance,Failover Mechanism,Primary Vendor Failure Rate,Delay Time (s),Backup Vendor Success Rate,Retry Attempts,Device Type,Location,Network Latency (ms),Adjusted Response Time,Adjusted Success Rate,Vendor Priority,Operator
Vendor A,058c4faf-57ad-4f63-a1c1-bd208b70a549,0,3077,0.091931605,1/10/2025,966,531823221,Friday,3.077,0.19080684,0,Low,Switch to Backup Vendor,0.110317926,3.583706221,0.814958202,2,Mobile,Suburban,323,0.282873548,0.169757425,1,STC
Vendor A,8617629d-33d8-473b-8be1-f065bbe3747e,1,7885,0.03346806,1/9/2025,966,530376491,Thursday,7.885,0.786612776,1,Medium,Delivered,0.052210173,9.183465569,0.814958202,0,Desktop,Urban,128,0.263895649,0.745543587,1,STC
Vendor C,54b78e9d-822c-44da-8825-c9eb5ba10183,0,4605,0.033292885,1/6/2025,966,541850866,Monday,4.605,0.196670711,0,Low,Switch to Backup Vendor,0.039951462,5.36333024,0.814958202,2,Desktop,Suburban,359,0.153313737,0.188813429,3,Mobily
Vendor B,1b2ad429-eb40-4118-9db7-096dcee35376,0,11411,0.031271336,1/3/2025,966,554666730,Friday,11.411,0.196872866,0,Low,Switch to Backup Vendor,0.037525603,13.29011105,0.814958202,2,Tablet,Suburban,259,0.35683721,0.189485093,2,STC
Vendor B,8d659130-e950-41ce-bf78-db3eefb8ff01,1,1112,0.127599398,1/5/2025,966,595804364,Sunday,1.112,0.748960241,0,Medium,Delivered,0.153119277,1.29511905,0.814958202,0,Desktop,Rural,203,0.14189053,0.63427999,2,Zain
Vendor A,c26182c7-986e-4314-b5fd-378218c88e8b,1,9409,0.0461945,1/19/2025,966,560784395,Sunday,9.409,0.7815222,0,Medium,Delivered,0.0554334,10.95843089,0.814958202,2,Tablet,Urban,452,0.434644052,0.738199767,1,Mobily
Vendor B,99f17869-ba5a-4bb2-908c-88bad3d877cf,0,10190,0.102369621,1/5/2025,966,538099452,Sunday,10.19,0.189763038,1,Low,Switch to Backup Vendor,0.159696609,11.86804238,0.814958202,1,Desktop,Urban,326,1.043146441,0.159458524,2,STC
Vendor A,8860dcd6-9161-4cae-8486-8be941e36fb9,0,5200,0.183462446,1/4/2025,966,571276316,Saturday,5.2,0.181653755,1,Low,Switch to Backup Vendor,0.286201416,6.056312106,0.814958202,1,Desktop,Rural,430,0.95400472,0.129664193,1,Virgin
Vendor B,07787988-b9f4-46c7-b7ea-a80af9c00511,1,6158,0.090908088,1/16/2025,966,543277858,Thursday,6.158,0.763636765,0,Medium,Delivered,0.109089705,7.172071145,0.814958202,1,Tablet,Rural,441,0.559812004,0.680331855,2,Mobily
Vendor C,1edcaae8-b1e1-47e3-b084-1d12629ce9c1,0,4512,0.143382972,1/21/2025,966,579054266,Tuesday,4.512,0.185661703,0,Low,Switch to Backup Vendor,0.172059566,5.255015428,0.814958202,0,Desktop,Suburban,363,0.64694397,0.153716831,3,Virgin
Vendor A,e318d422-353e-4506-9e27-7ed001fc8b12,0,7432,0.073549525,1/26/2025,966,553218578,Sunday,7.432,0.192645047,0,Low,Switch to Backup Vendor,0.08825943,8.655867611,0.814958202,1,Tablet,Urban,365,0.546620071,0.175642305,1,STC
Vendor A,b4b67ef3-4c04-4e6f-bce4-d09158e857e4,0,11998,0.114959913,1/17/2025,966,587284644,Friday,11.998,0.188504009,0,Low,Switch to Backup Vendor,0.137951895,13.97377551,0.814958202,1,Mobile,Suburban,187,1.379289033,0.162499523,1,Zain
Vendor C,0d181038-4927-48d6-87e9-82c3b4649827,0,14420,0.176351796,1/9/2025,966,581451121,Thursday,14.42,0.18236482,0,Low,Switch to Backup Vendor,0.211622156,16.79461934,0.814958202,0,Tablet,Suburban,371,2.542992903,0.143772384,3,Zain
Vendor A,4124bf4f-91f8-4cbf-a9c5-25e9c3811587,1,14137,0.047450971,1/4/2025,966,577112166,Saturday,14.137,0.781019612,1,Medium,Delivered,0.074023515,16.4650162,0.814958202,2,Mobile,Urban,93,0.67081438,0.723205795,1,Virgin
Vendor C,3baf52a6-fd34-44d6-856b-ac390200f448,0,7208,0.177727802,1/18/2025,966,550544579,Saturday,7.208,0.18222722,1,Low,Switch to Backup Vendor,0.277255371,8.39498032,0.814958202,1,Desktop,Suburban,380,1.281061996,0.131703744,3,STC
Vendor C,859893d5-5277-4e2b-b9a5-61f8b163ce29,0,1133,0.020323164,1/22/2025,966,546843152,Wednesday,1.133,0.197967684,1,Low,Switch to Backup Vendor,0.031704136,1.319577234,0.814958202,1,Mobile,Suburban,310,0.023026145,0.191691289,3,Mobily
Vendor B,a95b78c1-7889-4216-95aa-cfbe895d912e,0,14641,0.010413274,1/7/2025,966,593200812,Tuesday,14.641,0.198958673,0,Low,Switch to Backup Vendor,0.012495929,17.05201261,0.814958202,1,Tablet,Suburban,388,0.152460747,0.196472499,2,Zain
Vendor C,9f08d803-1f97-4187-9e74-a51e812bcdae,1,1837,0.063240691,1/21/2025,966,538415553,Tuesday,1.837,0.774703724,0,Medium,Delivered,0.075888829,2.139508719,0.814958202,2,Tablet,Rural,450,0.116173149,0.715912365,3,STC
Vendor C,78b90ad1-80c7-4e46-a9bd-e27cda6e4d73,1,13344,0.185686704,1/24/2025,966,500526540,Friday,13.344,0.725725318,1,Medium,Delivered,0.289671258,15.54142861,0.814958202,2,Desktop,Rural,179,2.47780338,0.515503552,3,STC
Vendor B,897c96c6-c400-49ee-a4a4-06870b27f4a1,0,10623,0.064390906,1/26/2025,966,583298331,Sunday,10.623,0.193560909,1,Low,Switch to Backup Vendor,0.100449814,12.37234683,0.814958202,0,Desktop,Urban,388,0.684024597,0.174117752,2,Zain
Vendor B,afea9b71-a645-4dd3-819c-92fc2a5f1bc3,1,9931,0.166301868,1/6/2025,966,550525124,Monday,9.931,0.733479253,0,Medium,Delivered,0.199562241,11.56639145,0.814958202,0,Tablet,Suburban,412,1.651543847,0.587104489,2,STC
Vendor B,13ccd1ae-7361-4541-85f2-b608d0da0aba,1,12669,0.067695768,1/13/2025,966,544069822,Monday,12.669,0.772921693,1,Medium,Delivered,0.105605398,14.75527271,0.814958202,2,Tablet,Urban,130,0.857637685,0.69129699,2,Mobily
Vendor B,5aa46bab-8b68-46f9-a891-bc355e7f7c83,1,10997,0.140911442,1/19/2025,966,546984804,Sunday,10.997,0.743635423,0,Medium,Delivered,0.169093731,12.80793543,0.814958202,1,Tablet,Urban,139,1.549603132,0.617891335,2,Mobily
Vendor B,5141a474-7c69-4963-bb9b-b44c3a9b5113,0,5851,0.120855285,1/20/2025,966,593718233,Monday,5.851,0.187914471,0,Low,Switch to Backup Vendor,0.145026342,6.814515795,0.814958202,1,Mobile,Rural,498,0.707124274,0.160661923,2,Zain
Vendor B,c499be91-a010-4bdf-8461-bfd173e85a41,1,6038,0.043948303,1/5/2025,966,549369736,Sunday,6.038,0.782420679,0,Medium,Delivered,0.052737963,7.032310096,0.814958202,1,Mobile,Suburban,351,0.265359853,0.741157406,2,Mobily
Vendor B,e6877f1b-05f3-46f3-88bd-4514eac1455e,1,3623,0.014241491,1/25/2025,966,556649183,Saturday,3.623,0.794303404,1,Medium,Delivered,0.022216726,4.219618993,0.814958202,1,Desktop,Suburban,209,0.051596922,0.776656583,2,STC
Vendor B,32042885-6c5e-4176-9c1a-26b430eb4e38,1,11431,0.12528548,1/15/2025,966,594479541,Wednesday,11.431,0.749885808,1,Medium,Delivered,0.195445348,13.31340456,0.814958202,1,Mobile,Suburban,297,1.432138319,0.603324115,2,Zain
Vendor B,fa9b4f88-ba54-49d6-bec4-d32358530051,0,13581,0.055533841,1/25/2025,966,596961197,Saturday,13.581,0.194446616,1,Low,Switch to Backup Vendor,0.086632792,15.81745668,0.814958202,0,Desktop,Suburban,219,0.754205097,0.177601163,2,Zain
Vendor C,6a09d435-49f2-405e-81ad-28f8af19bd68,1,4900,0.025456896,1/18/2025,966,547783937,Saturday,4.9,0.789817241,0,Medium,Delivered,0.030548276,5.706909485,0.814958202,0,Tablet,Urban,305,0.124738792,0.765689687,3,Mobily
Vendor C,0f364f67-765f-4d96-8dbd-7209beda25b7,1,14024,0.07961202,1/25/2025,966,570253355,Saturday,14.024,0.768155192,1,Medium,Delivered,0.124194751,16.33340788,0.814958202,0,Desktop,Suburban,132,1.116478967,0.672754349,3,Virgin
Vendor C,73cc9a26-1d2a-463c-8d82-f5d34b65e4b4,0,5179,0.092706628,1/10/2025,966,576414920,Friday,5.179,0.190729337,1,Low,Switch to Backup Vendor,0.14462234,6.031853923,0.814958202,1,Mobile,Urban,208,0.480127629,0.163145614,3,Virgin
Vendor A,c2234a0e-e253-4e90-9e7e-110f0dfd41f1,0,11160,0.063962433,1/10/2025,966,572750087,Friday,11.16,0.193603757,0,Low,Switch to Backup Vendor,0.07675492,12.99777752,0.814958202,0,Mobile,Rural,210,0.713820754,0.178743716,1,Virgin
Vendor B,fe728682-d867-4ea1-92c8-71fd9c179766,0,4391,0.057235232,1/18/2025,966,569419270,Saturday,4.391,0.194276477,1,Low,Switch to Backup Vendor,0.089286962,5.114089704,0.814958202,0,Mobile,Urban,69,0.251319903,0.17693012,2,Mobily
Vendor C,556249ab-9ef9-440d-ab4f-b0befb249567,1,8059,0.134438928,1/27/2025,966,570567612,Monday,8.059,0.746224429,0,Medium,Delivered,0.161326714,9.38611909,0.814958202,2,Desktop,Urban,86,1.083443321,0.625838494,3,Virgin
Vendor C,2e948ee7-63e5-445b-ac58-b16bdcdc93b4,1,11335,0.059647136,1/10/2025,966,560025460,Friday,11.335,0.776141146,0,Medium,Delivered,0.071576563,13.20159572,0.814958202,2,Tablet,Rural,147,0.676100283,0.72058763,3,Mobily
Vendor A,221e8bbf-496d-467f-babc-9236f84b6a97,1,14369,0.147271987,1/9/2025,966,576660989,Thursday,14.369,0.741091205,1,Medium,Delivered,0.2297443,16.7352209,0.814958202,2,Desktop,Rural,358,2.11615118,0.570829725,1,Virgin
Vendor B,03fd03b6-32a7-4b66-a87f-efdac547bb5e,1,2872,0.079155255,1/27/2025,966,502015627,Monday,2.872,0.768337898,0,Medium,Delivered,0.094986306,3.344947763,0.814958202,2,Desktop,Suburban,287,0.227333892,0.69535632,2,STC
Vendor A,3d95bcc7-e291-4ae0-adf3-3ca53e429614,1,9904,0.08916278,1/9/2025,966,566265033,Thursday,9.904,0.764334888,0,Medium,Delivered,0.106995336,11.53494521,0.814958202,2,Tablet,Rural,95,0.88306817,0.68255462,1,Mobily
Vendor B,27654a5e-b0ac-4e79-b2ee-ba48b3bc51d1,1,12454,0.169136008,1/20/2025,966,532773828,Monday,12.454,0.732345597,1,Medium,Delivered,0.263852173,14.50486749,0.814958202,2,Tablet,Rural,75,2.106419846,0.53911462,2,STC
Vendor A,d6b94cfd-4cac-449b-b9a8-f074529b09dd,0,10240,0.061652599,1/25/2025,966,570216919,Saturday,10.24,0.19383474,1,Low,Switch to Backup Vendor,0.096178054,11.92627615,0.814958202,1,Mobile,Rural,417,0.631322612,0.175192092,1,Virgin
Vendor C,a9c11dbf-5c0c-4a77-a629-50a24fa0d65b,1,3202,0.065907475,1/1/2025,966,545479122,Wednesday,3.202,0.77363701,0,Medium,Delivered,0.07908897,3.729290647,0.814958202,2,Tablet,Rural,340,0.211035735,0.712450856,3,Mobily
Vendor B,b1928d78-5962-4cdb-8e3a-64e1f850e2e6,1,9637,0.033473022,1/23/2025,966,506552223,Thursday,9.637,0.786610791,1,Medium,Delivered,0.052217914,11.22397688,0.814958202,1,Desktop,Suburban,324,0.322579514,0.745535616,2,STC
Vendor C,0ad80ba7-5d7e-4a3d-9304-8d2abcef8107,0,10934,0.141677993,1/4/2025,966,539352332,Saturday,10.934,0.185832201,0,Low,Switch to Backup Vendor,0.170013592,12.73456088,0.814958202,0,Tablet,Rural,178,1.549107176,0.154238201,3,STC
Vendor C,e66109b2-9287-45d8-ae53-15e62acf0437,0,13110,0.044318585,1/27/2025,966,570618078,Monday,13.11,0.195568141,0,Low,Switch to Backup Vendor,0.053182302,15.26889456,0.814958202,0,Desktop,Urban,55,0.581016652,0.185167377,3,Virgin
Vendor B,ad2cd539-22e5-42b6-8862-b051b7c145d5,1,6637,0.06860763,1/25/2025,966,570633313,Saturday,6.637,0.772556948,0,Medium,Delivered,0.082329155,7.729950664,0.814958202,0,Desktop,Urban,332,0.455348837,0.708952987,2,Virgin
Vendor A,8e9c4c07-fad0-4f37-b18e-f8b657c27c05,0,8649,0.124432016,1/4/2025,966,574478249,Saturday,8.649,0.187556798,0,Low,Switch to Backup Vendor,0.149318419,10.07327758,0.814958202,2,Mobile,Urban,125,1.076212507,0.159551114,1,Virgin
Vendor A,d6733140-37e7-45af-9e96-4d0a25f45b5b,0,13162,0.103111546,1/1/2025,966,563051947,Wednesday,13.162,0.189688845,1,Low,Switch to Backup Vendor,0.160854011,15.32945768,0.814958202,2,Mobile,Suburban,139,1.357154164,0.159176634,1,Mobily
Vendor B,94a4b14d-19e4-408e-862a-32fb0184e504,1,3545,0.164173525,1/14/2025,966,532515462,Tuesday,3.545,0.73433059,1,Medium,Delivered,0.256110699,4.128774311,0.814958202,0,Desktop,Rural,320,0.581995147,0.546260669,2,STC
Vendor A,db98c5de-20ff-4e03-b85f-758ab52d407b,1,11068,0.031170659,1/13/2025,966,541457835,Monday,11.068,0.787531736,1,Medium,Delivered,0.048626228,12.89062738,0.814958202,1,Mobile,Urban,425,0.344996854,0.749237039,1,Mobily
Vendor B,a7db203d-eacc-41cc-9c63-9312cd4f1d10,0,9658,0.179146389,1/28/2025,966,586595829,Tuesday,9.658,0.182085361,0,Low,Switch to Backup Vendor,0.214975666,11.24843506,0.814958202,1,Tablet,Suburban,236,1.730195821,0.142941439,2,Zain
Vendor A,d5a7df96-2f6a-4f6c-a92f-3d12b400fb92,1,1294,0.055514525,1/28/2025,966,572839305,Tuesday,1.294,0.77779419,1,Medium,Delivered,0.086602658,1.507089974,0.814958202,2,Desktop,Rural,250,0.071835795,0.710435146,1,Virgin
Vendor A,99c34d7a-c2f4-44af-963f-bfe0888f1359,1,1499,0.034657195,1/9/2025,966,576376895,Thursday,1.499,0.786137122,1,Medium,Delivered,0.054065224,1.745848432,0.814958202,1,Mobile,Suburban,433,0.051951135,0.743634442,1,Virgin
Vendor B,8872e9df-ff8a-4dcd-af9d-35ba5216dfd6,0,7740,0.023252895,1/18/2025,966,554312897,Saturday,7.74,0.19767471,0,Low,Switch to Backup Vendor,0.027903474,9.014587635,0.814958202,2,Desktop,Rural,325,0.17997741,0.192158899,2,STC
Vendor A,16857ca9-df2e-4525-a1f8-d48c0cd3ab14,1,8779,0.176002076,1/12/2025,966,565948648,Sunday,8.779,0.729599169,0,Medium,Delivered,0.211202492,10.22468538,0.814958202,2,Mobile,Suburban,457,1.545122229,0.575506007,1,Mobily
Vendor A,f536673b-1f3f-4f0c-8cd4-fd5e8ed33b2a,0,11306,0.075248371,1/19/2025,966,558024820,Sunday,11.306,0.192475163,1,Low,Switch to Backup Vendor,0.117387459,13.16782013,0.814958202,1,Desktop,Urban,275,0.850758083,0.169880993,1,STC
Vendor A,5e089525-61ae-4067-9642-ffd8eeffd54a,1,7943,0.025798386,1/22/2025,966,599642393,Wednesday,7.943,0.789680646,0,Medium,Delivered,0.030958063,9.251016743,0.814958202,2,Desktop,Urban,211,0.204916581,0.765233662,1,Zain
Vendor C,10315850-a421-44cf-9922-f729cea595e3,0,7485,0.03278474,1/13/2025,966,507285307,Monday,7.485,0.196721526,0,Low,Switch to Backup Vendor,0.039341688,8.717595407,0.814958202,0,Tablet,Urban,435,0.245393778,0.188982169,3,STC
Vendor C,f9636b5b-bfc0-4350-a47f-303b3f2f1000,1,12674,0.024165305,1/21/2025,966,579666973,Tuesday,12.674,0.790333878,1,Medium,Delivered,0.037697875,14.76109608,0.814958202,1,Desktop,Rural,354,0.306271071,0.76053997,3,Virgin
Vendor C,8986020b-61cc-4f5a-a23e-5d1f531204a4,1,11029,0.108852822,1/17/2025,966,542133889,Friday,11.029,0.756458871,0,Medium,Delivered,0.130623387,12.84520504,0.814958202,1,Mobile,Rural,260,1.200537775,0.657647652,3,Mobily
Vendor B,ca438359-9a3e-4f2f-a196-dfc3f2cb4a37,0,5670,0.12990901,1/20/2025,966,578458479,Monday,5.67,0.187009099,0,Low,Switch to Backup Vendor,0.155890812,6.603709547,0.814958202,1,Mobile,Urban,377,0.736584088,0.157856099,2,Virgin
Vendor A,039201f0-79be-4c82-a47a-aa6fd127333c,1,5466,0.123192538,1/7/2025,966,561423661,Tuesday,5.466,0.750722985,0,Medium,Delivered,0.147831045,6.366115764,0.814958202,2,Mobile,Rural,346,0.673370412,0.639742821,1,Mobily
Vendor B,1e3f6144-be77-45a8-b6c8-12560ce62dca,1,11212,0.19902863,1/22/2025,966,563963897,Wednesday,11.212,0.720388548,0,Medium,Delivered,0.238834356,13.05834064,0.814958202,1,Desktop,Urban,215,2.231508999,0.548335013,2,Mobily
Vendor C,c29827fa-d8bb-415e-a82d-5f74b0e08532,1,2528,0.048962836,1/24/2025,966,557296211,Friday,2.528,0.780414866,0,Medium,Delivered,0.058755403,2.944299424,0.814958202,0,Tablet,Suburban,126,0.12377805,0.734561275,3,STC
Vendor B,ed2bbd41-1c07-47c5-8437-b24653a42e55,1,7282,0.138724249,1/3/2025,966,584439024,Friday,7.282,0.744510301,1,Medium,Delivered,0.216409828,8.4811663,0.814958202,2,Desktop,Suburban,413,1.010189978,0.583390955,2,Zain
Vendor A,f2cc8b0b-adc1-44ff-b787-dff13614e16a,1,1239,0.115992392,1/9/2025,966,585760732,Thursday,1.239,0.753603043,0,Medium,Delivered,0.13919087,1.443032827,0.814958202,0,Mobile,Suburban,492,0.143714573,0.64870838,1,Zain
Vendor B,27c7f1c9-fa78-4161-8536-15fec5ec55d5,0,1239,0.032009434,1/21/2025,966,559790286,Tuesday,1.239,0.196799057,0,Low,Switch to Backup Vendor,0.038411321,1.443032827,0.814958202,1,Desktop,Suburban,476,0.039659688,0.189239745,2,STC
Vendor A,070c1b1f-aec2-4308-bb45-bf81591033a7,1,7633,0.189150802,1/26/2025,966,584202625,Sunday,7.633,0.724339679,1,Medium,Delivered,0.295075251,8.889967367,0.814958202,0,Desktop,Urban,316,1.443788069,0.510604967,1,Zain
Vendor C,42818eed-fdc3-434b-8400-57f3f4d3d0fa,0,11735,0.152356107,1/7/2025,966,582834969,Tuesday,11.735,0.184764389,1,Low,Switch to Backup Vendor,0.237675527,13.66746588,0.814958202,1,Desktop,Rural,402,1.787898915,0.140850416,3,Zain
Vendor B,3648c1dd-af5e-4164-8bf4-3d446f06c323,0,8876,0.18880824,1/6/2025,966,579613030,Monday,8.876,0.181119176,1,Low,Switch to Backup Vendor,0.294540854,10.3376589,0.814958202,0,Mobile,Suburban,63,1.675861934,0.127772179,2,Virgin
Vendor C,a62e80d0-a01f-43c1-b38b-b0cf8475dccb,1,10309,0.078024505,1/23/2025,966,591042898,Thursday,10.309,0.768790198,0,Medium,Delivered,0.093629406,12.00663875,0.814958202,1,Tablet,Suburban,59,0.80435462,0.696808829,3,Zain
Vendor A,380306b9-a6e4-4ca7-9833-b09d4b3a9126,1,4597,0.037345065,1/13/2025,966,573921993,Monday,4.597,0.785061974,1,Medium,Delivered,0.058258302,5.354012837,0.814958202,1,Tablet,Urban,287,0.171675264,0.739325597,1,Virgin
Vendor B,89768fc1-fa5b-4eaf-8050-41bf715a9427,1,5228,0.091692391,1/22/2025,966,561954680,Wednesday,5.228,0.763323044,0,Medium,Delivered,0.110030869,6.088923018,0.814958202,2,Desktop,Rural,160,0.47936782,0.679333946,2,Mobily
Vendor B,84362155-a378-4c79-a361-92b681344384,1,5232,0.06150416,1/1/2025,966,585150629,Wednesday,5.232,0.775398336,1,Medium,Delivered,0.095946489,6.093581719,0.814958202,2,Desktop,Suburban,443,0.321789764,0.701001588,2,Zain
Vendor B,8a89833d-fac8-4902-a345-ea2cd2586df2,0,6289,0.056781184,1/19/2025,966,577831936,Sunday,6.289,0.194321882,1,Low,Switch to Backup Vendor,0.088578646,7.324643623,0.814958202,0,Mobile,Urban,438,0.357096863,0.177109112,2,Virgin
Vendor C,7647f94d-0c5b-4870-aa7c-b5e8ba2ad067,1,7862,0.121471538,1/3/2025,966,545630896,Friday,7.862,0.751411385,0,Medium,Delivered,0.145765846,9.156678035,0.814958202,0,Tablet,Suburban,57,0.955009232,0.641881269,3,Mobily
Vendor C,46ae3a50-b249-4f8d-aeec-62c5937a1db4,1,4094,0.146387538,1/18/2025,966,579826880,Saturday,4.094,0.741444985,0,Medium,Delivered,0.175665045,4.768181108,0.814958202,0,Mobile,Urban,152,0.59931058,0.611199018,3,Virgin
Vendor C,4f60c7c3-7e03-4af0-a00c-bb6be1482def,0,14541,0.156918555,1/26/2025,966,575216153,Sunday,14.541,0.184308144,1,Low,Switch to Backup Vendor,0.244792946,16.93554507,0.814958202,2,Tablet,Rural,58,2.281752711,0.139190811,3,Virgin
Vendor A,b3e50c79-6e6b-4c76-a4b3-93a982faf84f,1,14291,0.108670252,1/18/2025,966,573466074,Saturday,14.291,0.756531899,1,Medium,Delivered,0.169525594,16.64437621,0.814958202,0,Tablet,Suburban,198,1.553006576,0.62828038,1,Virgin
Vendor A,956e93d7-e310-41c6-8022-2be45f870100,0,2852,0.148301753,1/22/2025,966,592153265,Wednesday,2.852,0.185169825,0,Low,Switch to Backup Vendor,0.177962104,3.321654255,0.814958202,0,Tablet,Rural,236,0.422956601,0.152216613,1,Zain
Vendor A,b0cfed04-aec3-4f57-9247-07a114656fa6,1,8150,0.062401362,1/13/2025,966,548088028,Monday,8.15,0.775039455,0,Medium,Delivered,0.074881634,9.492104551,0.814958202,2,Desktop,Suburban,106,0.508571097,0.717003235,1,Mobily
Vendor A,01f2227f-b163-4c17-9b93-d2e272460abe,1,13741,0.128387566,1/2/2025,966,547738078,Thursday,13.741,0.748644974,0,Medium,Delivered,0.154065079,16.00380474,0.814958202,0,Mobile,Urban,390,1.764173539,0.633304927,1,Mobily
Vendor B,23daea73-fec3-473f-beff-71dc8d378183,0,12566,0.085161932,1/27/2025,966,597503769,Monday,12.566,0.191483807,0,Low,Switch to Backup Vendor,0.102194319,14.63531114,0.814958202,1,Mobile,Rural,135,1.070144841,0.17191525,2,Zain
Vendor B,e7eba1ff-911c-4ed7-a524-5e90c09598d6,0,13138,0.158339405,1/7/2025,966,581889036,Tuesday,13.138,0.184166059,0,Low,Switch to Backup Vendor,0.190007286,15.30150547,0.814958202,2,Mobile,Urban,256,2.080263103,0.149173166,2,Zain
Vendor B,eef15651-99f0-4366-b1ac-036c8cdf3701,0,2783,0.144244819,1/25/2025,966,537309327,Saturday,2.783,0.185575518,0,Low,Switch to Backup Vendor,0.173093783,3.241291652,0.814958202,1,Mobile,Rural,50,0.401433331,0.15345355,2,STC
Vendor B,fcb54f10-fb61-49ad-8f27-4a83428e9f08,0,6310,0.167306006,1/11/2025,966,582436280,Saturday,6.31,0.183269399,0,Low,Switch to Backup Vendor,0.200767207,7.349101806,0.814958202,2,Mobile,Suburban,133,1.055700899,0.146474914,2,Zain
Vendor B,333167a9-128a-4202-b3f6-3e6b9228cb22,0,12471,0.118897767,1/27/2025,966,551797393,Monday,12.471,0.188110223,0,Low,Switch to Backup Vendor,0.14267732,14.52466698,0.814958202,0,Tablet,Urban,198,1.482774048,0.161271161,2,STC
Vendor A,8ef5108d-7a9c-440f-8db3-f70d303bf332,1,13318,0.104305926,1/3/2025,966,567908529,Friday,13.318,0.758277629,1,Medium,Delivered,0.162717245,15.51114704,0.814958202,0,Tablet,Suburban,291,1.389146326,0.634892783,1,Mobily
Vendor A,2638b1aa-4b30-4546-8a21-c8cb2d942062,1,11548,0.146711301,1/15/2025,966,570779197,Wednesday,11.548,0.74131548,0,Medium,Delivered,0.176053561,13.44967158,0.814958202,2,Desktop,Rural,153,1.694222105,0.610804249,1,Virgin
Vendor C,3653c281-30d0-49fa-b91f-2bced4b13988,0,5439,0.06940075,1/17/2025,966,576304596,Friday,5.439,0.193059925,1,Low,Switch to Backup Vendor,0.10826517,6.334669528,0.814958202,2,Desktop,Suburban,493,0.377470681,0.172158259,3,Virgin
Vendor B,03357689-ae64-4eaa-a3d3-169cbf2aaa3b,1,14172,0.11962407,1/28/2025,966,582770789,Tuesday,14.172,0.752150372,1,Medium,Delivered,0.186613549,16.50577984,0.814958202,1,Tablet,Rural,496,1.695312316,0.611788922,2,Zain
Vendor B,6eb0f81f-862d-422a-8c85-f9287bae3177,0,2592,0.161869489,1/24/2025,966,578463628,Friday,2.592,0.183813051,0,Low,Switch to Backup Vendor,0.194243387,3.01883865,0.814958202,1,Tablet,Urban,53,0.419565715,0.148108582,2,Virgin
Vendor A,1c96067a-cbfc-4d87-bad1-05c70c7bfa21,1,2520,0.090404417,1/8/2025,966,569100445,Wednesday,2.52,0.763838233,0,Medium,Delivered,0.1084853,2.934982021,0.814958202,1,Tablet,Rural,175,0.22781913,0.680973014,1,Mobily
Vendor C,82245d1e-e19d-4c16-8191-310963d3d4bd,0,4928,0.124386856,1/5/2025,966,585866590,Sunday,4.928,0.187561314,1,Low,Switch to Backup Vendor,0.194043495,5.739520396,0.814958202,1,Tablet,Suburban,303,0.612978426,0.151166261,3,Zain
Vendor B,b4afc6a7-4870-4f26-a6a6-689523993114,0,2811,0.168319512,1/12/2025,966,546336019,Sunday,2.811,0.183168049,1,Low,Switch to Backup Vendor,0.262578439,3.273902564,0.814958202,0,Desktop,Suburban,227,0.473146149,0.135072068,2,Mobily
Vendor B,821bc0a4-b5c5-45cf-862f-26080fa7e224,0,8494,0.067720615,1/4/2025,966,587844615,Saturday,8.494,0.193227939,1,Low,Switch to Backup Vendor,0.105644159,9.892752891,0.814958202,0,Tablet,Urban,63,0.575218902,0.172814535,2,Zain
Vendor B,864a8d75-bb80-460c-8e74-c023aac36ce6,1,12283,0.192686916,1/25/2025,966,596755589,Saturday,12.283,0.722925234,1,Medium,Delivered,0.300591589,14.305708,0.814958202,1,Tablet,Rural,490,2.366773391,0.505619989,2,Zain
Vendor B,c1991f6a-1d58-4509-8d96-b73af80b3bab,1,14129,0.104772093,1/18/2025,966,566634920,Saturday,14.129,0.758091163,1,Medium,Delivered,0.163444465,16.4556988,0.814958202,1,Desktop,Urban,56,1.480324897,0.634185359,2,Mobily
Vendor B,6aee52bc-be18-4047-991f-94da13c5d850,1,4409,0.026628906,1/26/2025,966,579692641,Sunday,4.409,0.789348438,1,Medium,Delivered,0.041541094,5.135053861,0.814958202,0,Desktop,Urban,457,0.117406847,0.75655804,2,Virgin
Vendor B,a516a32c-f113-49ea-9b54-8a2895d92f81,1,11368,0.034412885,1/20/2025,966,565969003,Monday,11.368,0.786234846,0,Medium,Delivered,0.041295462,13.24003001,0.814958202,2,Desktop,Urban,162,0.39120568,0.753766914,2,Mobily
Vendor C,cd757826-96c5-4e9c-b7b4-6cc839a13ae3,1,5342,0.17864027,1/16/2025,966,570337663,Thursday,5.342,0.728543892,1,Medium,Delivered,0.278678822,6.221696014,0.814958202,0,Mobile,Suburban,426,0.954296324,0.525514138,3,Virgin
Vendor C,a51388a7-a07a-4b5e-a344-db8222fb70e2,0,8719,0.169924917,1/18/2025,966,555657380,Saturday,8.719,0.183007508,0,Low,Switch to Backup Vendor,0.203909901,10.15480486,0.814958202,0,Tablet,Urban,310,1.481575354,0.145690465,3,STC
Vendor B,549150ae-e9ae-4575-ad61-fba9518073ac,0,12898,0.067199221,1/24/2025,966,577713401,Friday,12.898,0.193280078,1,Low,Switch to Backup Vendor,0.104830785,15.02198337,0.814958202,1,Tablet,Suburban,416,0.866735552,0.173018376,2,Virgin
